 A ( ADVERB ) 
 Amman ( NOUN NOUN_PROPER_SINGULAR ) 
 Ammoniti ( NOUN NOUN_PROPER_SINGULAR ) 
 Amnesty ( NOUN NOUN_PROPER_SINGULAR ) 
 Amsterdam ( NOUN NOUN_PROPER_SINGULAR ) 
 An ( NOUN NOUN_PROPER_SINGULAR ) 
 Anas ( NOUN NOUN_PROPER_SINGULAR ) 
 Anc ( NOUN NOUN_PROPER_SINGULAR ) 
 Ancelotti ( NOUN NOUN_PROPER_SINGULAR ) 
 Ancona ( NOUN NOUN_PROPER_SINGULAR ) 
 Anderson ( NOUN NOUN_PROPER_SINGULAR ) 
 Andersson ( NOUN NOUN_PROPER_SINGULAR ) 
 Andre' ( NOUN NOUN_PROPER_SINGULAR ) lemma=André 
 Andrea ( NOUN NOUN_PROPER_SINGULAR ) 
 Andreatta ( NOUN NOUN_PROPER_SINGULAR ) 
 Andrei ( NOUN NOUN_PROPER_SINGULAR ) 
 Andrej ( NOUN NOUN_PROPER_SINGULAR ) 
 Andreotti ( NOUN NOUN_PROPER_SINGULAR ) 
 Andrew ( NOUN NOUN_PROPER_SINGULAR ) 
 Andria ( NOUN NOUN_PROPER_SINGULAR ) 
 André ( NOUN NOUN_PROPER_SINGULAR ) 
 Andy ( NOUN NOUN_PROPER_SINGULAR ) 
 Angela ( NOUN NOUN_PROPER_SINGULAR ) 
 Angeles ( NOUN NOUN_PROPER_SINGULAR ) 
 Angeli ( NOUN NOUN_PROPER_SINGULAR ) 
 Angelini ( NOUN NOUN_PROPER_SINGULAR ) 
 Angelis ( NOUN NOUN_PROPER_SINGULAR ) 
 Angelo ( NOUN NOUN_PROPER_SINGULAR ) 
 Angius ( NOUN NOUN_PROPER_SINGULAR ) 
 Angola ( NOUN NOUN_PROPER_SINGULAR ) 
 Ania ( NOUN NOUN_PROPER_SINGULAR ) 
 Anita ( NOUN NOUN_PROPER_SINGULAR ) 
 Ankara ( NOUN NOUN_PROPER_SINGULAR ) 
 Anm ( NOUN NOUN_PROPER_SINGULAR ) 
 Anna ( NOUN NOUN_PROPER_SINGULAR ) 
 Annamaria ( NOUN NOUN_PROPER_SINGULAR ) 
 Annan ( NOUN NOUN_PROPER_SINGULAR ) 
 Anne ( NOUN NOUN_PROPER_SINGULAR ) 
 Annunziata ( NOUN NOUN_PROPER_SINGULAR ) 
 Annunzio ( NOUN NOUN_PROPER_SINGULAR ) 
 Anonima ( NOUN NOUN_PROPER_SINGULAR ) 
 Anpac ( NOUN NOUN_PROPER_SINGULAR ) 
 Ansa ( NOUN NOUN_PROPER_SINGULAR ) 
 Ansaldo ( NOUN NOUN_PROPER_SINGULAR ) 
 Anselmi ( NOUN NOUN_PROPER_SINGULAR ) 
 Anthony ( NOUN NOUN_PROPER_SINGULAR ) 
 Antitrust ( NOUN NOUN_PROPER_SINGULAR ) 
 Antoine ( NOUN NOUN_PROPER_SINGULAR ) 
 Antonella ( NOUN NOUN_PROPER_SINGULAR ) 
 Antonello ( NOUN NOUN_PROPER_SINGULAR ) 
 Antoni ( NOUN NOUN_PROPER_SINGULAR ) 
 Antonietta ( NOUN NOUN_PROPER_SINGULAR ) 
 Antonino ( NOUN NOUN_PROPER_SINGULAR ) 
 Antonio ( NOUN NOUN_PROPER_SINGULAR ) 
 Antonioni ( NOUN NOUN_PROPER_SINGULAR ) 
 Aosta ( NOUN NOUN_PROPER_SINGULAR ) 
 Apollo ( NOUN NOUN_PROPER_SINGULAR ) 
 Appennino ( NOUN NOUN_PROPER_SINGULAR ) 
 Apple ( NOUN NOUN_PROPER_SINGULAR ) 
 Aprilia ( NOUN NOUN_PROPER_SINGULAR ) 
 Aquila ( NOUN NOUN_PROPER_SINGULAR ) 
 Aquino ( NOUN NOUN_PROPER_SINGULAR ) 
 Arabia ( NOUN NOUN_PROPER_SINGULAR ) 
 Arafat ( NOUN NOUN_PROPER_SINGULAR ) 
 Arbore ( NOUN NOUN_PROPER_SINGULAR ) 
 Arco ( NOUN NOUN_PROPER_SINGULAR ) 
 Arcore ( NOUN NOUN_PROPER_SINGULAR ) 
 Arcuti ( NOUN NOUN_PROPER_SINGULAR ) 
 Arena ( NOUN NOUN_PROPER_SINGULAR ) 
 Arese ( NOUN NOUN_PROPER_SINGULAR ) 
 Arezzo ( NOUN NOUN_PROPER_SINGULAR ) 
 Argentin ( NOUN NOUN_PROPER_SINGULAR ) 
 Argentina ( NOUN NOUN_PROPER_SINGULAR ) 
 Argento ( NOUN NOUN_PROPER_SINGULAR ) 
 Ariosto ( NOUN NOUN_PROPER_SINGULAR ) 
 Aristide ( NOUN NOUN_PROPER_SINGULAR ) 
 Ariston ( NOUN NOUN_PROPER_SINGULAR ) 
 Arkansas ( NOUN NOUN_PROPER_SINGULAR ) 
 Armando ( NOUN NOUN_PROPER_SINGULAR ) 
 Armani ( NOUN NOUN_PROPER_SINGULAR ) 
 Armenia ( NOUN NOUN_PROPER_SINGULAR ) 
 Armstrong ( NOUN NOUN_PROPER_SINGULAR ) 
 Arnaldo ( NOUN NOUN_PROPER_SINGULAR ) 
 Arsenal ( NOUN NOUN_PROPER_SINGULAR ) 
 Art ( NOUN NOUN_PROPER_SINGULAR ) 
 Arthur ( NOUN NOUN_PROPER_SINGULAR ) 
 Arturo ( NOUN NOUN_PROPER_SINGULAR ) 
 Ascoli ( NOUN NOUN_PROPER_SINGULAR ) 
 Asia ( NOUN NOUN_PROPER_SINGULAR ) 
 Asinello ( NOUN NOUN_PROPER_SINGULAR ) 
 Asprilla ( NOUN NOUN_PROPER_SINGULAR ) 
 Aspromonte ( NOUN NOUN_PROPER_SINGULAR ) 
 Assad ( NOUN NOUN_PROPER_SINGULAR ) 
 Assisi ( NOUN NOUN_PROPER_SINGULAR ) 
 Assitalia ( NOUN NOUN_PROPER_SINGULAR ) 
 Assolombarda ( NOUN NOUN_PROPER_SINGULAR ) 
 Asti ( NOUN NOUN_PROPER_SINGULAR ) 
 At&t ( NOUN NOUN_PROPER_SINGULAR ) 
 Atalanta ( NOUN NOUN_PROPER_SINGULAR ) 
 Atene ( NOUN NOUN_PROPER_SINGULAR ) 
 Ati ( NOUN NOUN_PROPER_SINGULAR ) 
 Atlanta ( NOUN NOUN_PROPER_SINGULAR ) 
 Atlantic ( NOUN NOUN_PROPER_SINGULAR ) 
 Atlantico ( NOUN NOUN_PROPER_SINGULAR ) 
 Atletico ( NOUN NOUN_PROPER_SINGULAR ) 
 Attilio ( NOUN NOUN_PROPER_SINGULAR ) 
 Audi ( NOUN NOUN_PROPER_SINGULAR ) 
 Auditel ( NOUN NOUN_PROPER_SINGULAR ) 
 Augusta ( NOUN NOUN_PROPER_SINGULAR ) 
 Augusto ( NOUN NOUN_PROPER_SINGULAR ) 
 Auletta ( NOUN NOUN_PROPER_SINGULAR ) 
 Aurelio ( NOUN NOUN_PROPER_SINGULAR ) 
 Auschwitz ( NOUN NOUN_PROPER_SINGULAR ) 
 Australia ( NOUN NOUN_PROPER_SINGULAR ) 
 Austria ( NOUN NOUN_PROPER_SINGULAR ) 
 Authority ( NOUN NOUN_PROPER_SINGULAR ) 
 Auto ( NOUN NOUN_PROPER_SINGULAR ) 
 Avana ( NOUN NOUN_PROPER_SINGULAR ) 
 Avanti ( NOUN NOUN_PROPER_SINGULAR ) 
 Avellino ( NOUN NOUN_PROPER_SINGULAR ) 
 Avenue ( NOUN NOUN_PROPER_SINGULAR ) 
 Aviv ( NOUN NOUN_PROPER_SINGULAR ) 
 Avv. ( NOUN NOUN_SINGULAR ) lemma=avvocato 
 Avvenire ( NOUN NOUN_PROPER_SINGULAR ) 
 Ayala ( NOUN NOUN_PROPER_SINGULAR ) 
 Azeglio ( NOUN NOUN_PROPER_SINGULAR ) 
 Azienda ( NOUN NOUN_PROPER_SINGULAR ) 
 Aziz ( NOUN NOUN_PROPER_SINGULAR ) 
 Aznar ( NOUN NOUN_PROPER_SINGULAR ) 
 Azzurra ( NOUN NOUN_PROPER_SINGULAR ) 
 Azzurro ( NOUN NOUN_PROPER_SINGULAR ) 
 a ( ADVERB PREPOSITION ) 
 a-storica ( ADJECTIVE ) lemma=a-storico 
 a-storiche ( ADJECTIVE ) lemma=a-storico 
 a-storici ( ADJECTIVE ) lemma=a-storico 
 a-storicissima ( ADJECTIVE ) lemma=a-storico 
 a-storicissime ( ADJECTIVE ) lemma=a-storico 
 a-storicissimi ( ADJECTIVE ) lemma=a-storico 
 a-storicissimo ( ADJECTIVE ) lemma=a-storico 
 a-storico ( ADJECTIVE ) 
 a.C. ( ) 
 aahh ( ) 
 aahhh ( ) 
 aargh ( ) 
 abate ( NOUN NOUN_SINGULAR ) 
 abati ( NOUN NOUN_SINGULAR ) lemma=abate 
 abbacchi ( VERB ) lemma=abbacchiare 
 abbacchia ( VERB ) lemma=abbacchiare 
 abbacchiai ( VERB ) lemma=abbacchiare 
 abbacchiammo ( VERB ) lemma=abbacchiare 
 abbacchiamo ( VERB ) lemma=abbacchiare 
 abbacchian ( VERB ) lemma=abbacchiare 
 abbacchiando ( NOUN NOUN_GERUND ) lemma=abbacchiare 
 abbacchiano ( VERB ) lemma=abbacchiare 
 abbacchiante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=abbacchiare 
 abbacchianti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=abbacchiare 
 abbacchiar ( VERB_INFINITIVE VERB ) lemma=abbacchiare 
 abbacchiare ( VERB_INFINITIVE VERB ) 
 abbacchiaron ( VERB ) lemma=abbacchiare 
 abbacchiarono ( VERB ) lemma=abbacchiare 
 abbacchiasse ( VERB ) lemma=abbacchiare 
 abbacchiasser ( VERB ) lemma=abbacchiare 
 abbacchiassero ( VERB ) lemma=abbacchiare 
 abbacchiassi ( VERB ) lemma=abbacchiare 
 abbacchiassimo ( VERB ) lemma=abbacchiare 
 abbacchiaste ( VERB ) lemma=abbacchiare 
 abbacchiasti ( VERB ) lemma=abbacchiare 
 abbacchiata ( VERB_PAST_PARTICIPLE VERB ) lemma=abbacchiare 
 abbacchiate ( VERB_PAST_PARTICIPLE VERB ) lemma=abbacchiare 
 abbacchiati ( VERB_PAST_PARTICIPLE VERB ) lemma=abbacchiare 
 abbacchiato ( VERB_PAST_PARTICIPLE VERB ) lemma=abbacchiare 
 abbacchiava ( VERB ) lemma=abbacchiare 
 abbacchiavamo ( VERB ) lemma=abbacchiare 
 abbacchiavan ( VERB ) lemma=abbacchiare 
 abbacchiavano ( VERB ) lemma=abbacchiare 
 abbacchiavate ( VERB ) lemma=abbacchiare 
 abbacchiavi ( VERB ) lemma=abbacchiare 
 abbacchiavo ( VERB ) lemma=abbacchiare 
 abbacchiera' ( VERB ) lemma=abbacchiare 
 abbacchierai ( VERB ) lemma=abbacchiare 
 abbacchieran ( VERB ) lemma=abbacchiare 
 abbacchieranno ( VERB ) lemma=abbacchiare 
 abbacchierebbe ( VERB ) lemma=abbacchiare 
 abbacchierebber ( VERB ) lemma=abbacchiare 
 abbacchierebbero ( VERB ) lemma=abbacchiare 
 abbacchierei ( VERB ) lemma=abbacchiare 
 abbacchieremmo ( VERB ) lemma=abbacchiare 
 abbacchieremo ( VERB ) lemma=abbacchiare 
 abbacchiereste ( VERB ) lemma=abbacchiare 
 abbacchieresti ( VERB ) lemma=abbacchiare 
 abbacchierete ( VERB ) lemma=abbacchiare 
 abbacchiero' ( VERB ) lemma=abbacchiare 
 abbacchierà ( VERB ) lemma=abbacchiare 
 abbacchierò ( VERB ) lemma=abbacchiare 
 abbacchin ( VERB ) lemma=abbacchiare 
 abbacchino ( VERB ) lemma=abbacchiare 
 abbacchio ( VERB ) lemma=abbacchiare 
 abbacchio' ( VERB ) lemma=abbacchiare 
 abbacchiò ( VERB ) lemma=abbacchiare 
 abbacina ( VERB ) lemma=abbacinare 
 abbacinai ( VERB ) lemma=abbacinare 
 abbacinammo ( VERB ) lemma=abbacinare 
 abbacinan ( VERB ) lemma=abbacinare 
 abbacinando ( NOUN NOUN_GERUND ) lemma=abbacinare 
 abbacinano ( VERB ) lemma=abbacinare 
 abbacinante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=abbacinare 
 abbacinanti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=abbacinare 
 abbacinar ( VERB_INFINITIVE VERB ) lemma=abbacinare 
 abbacinare ( VERB_INFINITIVE VERB ) 
 abbacinaron ( VERB ) lemma=abbacinare 
 abbacinarono ( VERB ) lemma=abbacinare 
 abbacinasse ( VERB ) lemma=abbacinare 
 abbacinasser ( VERB ) lemma=abbacinare 
 abbacinassero ( VERB ) lemma=abbacinare 
 abbacinassi ( VERB ) lemma=abbacinare 
 abbacinassimo ( VERB ) lemma=abbacinare 
 abbacinaste ( VERB ) lemma=abbacinare 
 abbacinasti ( VERB ) lemma=abbacinare 
 abbacinata ( VERB_PAST_PARTICIPLE VERB ) lemma=abbacinare 
 abbacinate ( VERB_PAST_PARTICIPLE VERB ) lemma=abbacinare 
 abbacinati ( VERB_PAST_PARTICIPLE VERB ) lemma=abbacinare 
 abbacinato ( VERB_PAST_PARTICIPLE VERB ) lemma=abbacinare 
 abbacinava ( VERB ) lemma=abbacinare 
 abbacinavamo ( VERB ) lemma=abbacinare 
 abbacinavan ( VERB ) lemma=abbacinare 
 abbacinavano ( VERB ) lemma=abbacinare 
 abbacinavate ( VERB ) lemma=abbacinare 
 abbacinavi ( VERB ) lemma=abbacinare 
 abbacinavo ( VERB ) lemma=abbacinare 
 abbacinera' ( VERB ) lemma=abbacinare 
 abbacinerai ( VERB ) lemma=abbacinare 
 abbacineran ( VERB ) lemma=abbacinare 
 abbacineranno ( VERB ) lemma=abbacinare 
 abbacinerebbe ( VERB ) lemma=abbacinare 
 abbacinerebber ( VERB ) lemma=abbacinare 
 abbacinerebbero ( VERB ) lemma=abbacinare 
 abbacinerei ( VERB ) lemma=abbacinare 
 abbacineremmo ( VERB ) lemma=abbacinare 
 abbacineremo ( VERB ) lemma=abbacinare 
 abbacinereste ( VERB ) lemma=abbacinare 
 abbacineresti ( VERB ) lemma=abbacinare 
 abbacinerete ( VERB ) lemma=abbacinare 
 abbacinero' ( VERB ) lemma=abbacinare 
 abbacinerà ( VERB ) lemma=abbacinare 
 abbacinerò ( VERB ) lemma=abbacinare 
 abbacini ( VERB ) lemma=abbacinare 
 abbaciniamo ( VERB ) lemma=abbacinare 
 abbaciniate ( VERB ) lemma=abbacinare 
 abbacinin ( VERB ) lemma=abbacinare 
 abbacinino ( VERB ) lemma=abbacinare 
 abbacino ( VERB ) lemma=abbacinare 
 abbacino' ( VERB ) lemma=abbacinare 
 abbacinò ( VERB ) lemma=abbacinare 
 abbagli ( NOUN VERB NOUN_SINGULAR ) lemma=abbaglio 
 abbaglia ( VERB ) lemma=abbagliare 
 abbagliai ( VERB ) lemma=abbagliare 
 abbagliammo ( VERB ) lemma=abbagliare 
 abbagliamo ( VERB ) lemma=abbagliare 
 abbaglian ( VERB ) lemma=abbagliare 
 abbagliando ( NOUN NOUN_GERUND ) lemma=abbagliare 
 abbagliandoci ( NOUN NOUN_GERUND ) lemma=abbagliare 
 abbagliano ( VERB ) lemma=abbagliare 
 abbagliante ( VERB_PRESENT_PARTICIPLE VERB ADJECTIVE ) 
 abbaglianti ( VERB_PRESENT_PARTICIPLE VERB ADJECTIVE ) lemma=abbagliante 
 abbagliantissima ( ADJECTIVE ) lemma=abbagliante 
 abbagliantissime ( ADJECTIVE ) lemma=abbagliante 
 abbagliantissimi ( ADJECTIVE ) lemma=abbagliante 
 abbagliantissimo ( ADJECTIVE ) lemma=abbagliante 
 abbagliar ( VERB_INFINITIVE VERB ) lemma=abbagliare 
 abbagliare ( VERB_INFINITIVE VERB ) 
 abbagliarli ( VERB_INFINITIVE VERB ) lemma=abbagliare 
 abbagliaron ( VERB ) lemma=abbagliare 
 abbagliarono ( VERB ) lemma=abbagliare 
 abbagliasse ( VERB ) lemma=abbagliare 
 abbagliasser ( VERB ) lemma=abbagliare 
 abbagliassero ( VERB ) lemma=abbagliare 
 abbagliassi ( VERB ) lemma=abbagliare 
 abbagliassimo ( VERB ) lemma=abbagliare 
 abbagliaste ( VERB ) lemma=abbagliare 
 abbagliasti ( VERB ) lemma=abbagliare 
 abbagliata ( VERB_PAST_PARTICIPLE VERB ) lemma=abbagliare 
 abbagliate ( VERB_PAST_PARTICIPLE VERB ) lemma=abbagliare 
 abbagliati ( VERB_PAST_PARTICIPLE VERB ) lemma=abbagliare 
 abbagliato ( VERB_PAST_PARTICIPLE VERB ) lemma=abbagliare 
 abbagliava ( VERB ) lemma=abbagliare 
 abbagliavamo ( VERB ) lemma=abbagliare 
 abbagliavan ( VERB ) lemma=abbagliare 
 abbagliavano ( VERB ) lemma=abbagliare 
 abbagliavate ( VERB ) lemma=abbagliare 
 abbagliavi ( VERB ) lemma=abbagliare 
 abbagliavo ( VERB ) lemma=abbagliare 
 abbagliera' ( VERB ) lemma=abbagliare 
 abbaglierai ( VERB ) lemma=abbagliare 
 abbaglieran ( VERB ) lemma=abbagliare 
 abbaglieranno ( VERB ) lemma=abbagliare 
 abbaglierebbe ( VERB ) lemma=abbagliare 
 abbaglierebber ( VERB ) lemma=abbagliare 
 abbaglierebbero ( VERB ) lemma=abbagliare 
 abbaglierei ( VERB ) lemma=abbagliare 
 abbaglieremmo ( VERB ) lemma=abbagliare 
 abbaglieremo ( VERB ) lemma=abbagliare 
 abbagliereste ( VERB ) lemma=abbagliare 
 abbaglieresti ( VERB ) lemma=abbagliare 
 abbaglierete ( VERB ) lemma=abbagliare 
 abbagliero' ( VERB ) lemma=abbagliare 
 abbaglierà ( VERB ) lemma=abbagliare 
 abbaglierò ( VERB ) lemma=abbagliare 
 abbaglin ( VERB ) lemma=abbagliare 
 abbaglino ( VERB ) lemma=abbagliare 
 abbaglio ( NOUN VERB NOUN_SINGULAR ) 
 abbaglio' ( VERB ) lemma=abbagliare 
 abbagliò ( VERB ) lemma=abbagliare 
 abbai ( VERB ) lemma=abbaiare 
 abbaia ( VERB ) lemma=abbaiare 
 abbaiai ( VERB ) lemma=abbaiare 
 abbaiammo ( VERB ) lemma=abbaiare 
 abbaiamo ( VERB ) lemma=abbaiare 
 abbaian ( VERB ) lemma=abbaiare 
 abbaiando ( NOUN NOUN_GERUND ) lemma=abbaiare 
 abbaiano ( VERB ) lemma=abbaiare 
 abbaiante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=abbaiare 
 abbaianti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=abbaiare 
 abbaiar ( VERB_INFINITIVE VERB ) lemma=abbaiare 
 abbaiare ( VERB_INFINITIVE VERB ) 
 abbaiaron ( VERB ) lemma=abbaiare 
 abbaiarono ( VERB ) lemma=abbaiare 
 abbaiasse ( VERB ) lemma=abbaiare 
 abbaiasser ( VERB ) lemma=abbaiare 
 abbaiassero ( VERB ) lemma=abbaiare 
 abbaiassi ( VERB ) lemma=abbaiare 
 abbaiassimo ( VERB ) lemma=abbaiare 
 abbaiaste ( VERB ) lemma=abbaiare 
 abbaiasti ( VERB ) lemma=abbaiare 
 abbaiata ( VERB_PAST_PARTICIPLE VERB ) lemma=abbaiare 
 abbaiate ( VERB_PAST_PARTICIPLE VERB ) lemma=abbaiare 
 abbaiati ( VERB_PAST_PARTICIPLE VERB ) lemma=abbaiare 
 abbaiato ( VERB_PAST_PARTICIPLE VERB ) lemma=abbaiare 
 abbaiava ( VERB ) lemma=abbaiare 
 abbaiavamo ( VERB ) lemma=abbaiare 
 abbaiavan ( VERB ) lemma=abbaiare 
 abbaiavano ( VERB ) lemma=abbaiare 
 abbaiavate ( VERB ) lemma=abbaiare 
 abbaiavi ( VERB ) lemma=abbaiare 
 abbaiavo ( VERB ) lemma=abbaiare 
 abbaiera' ( VERB ) lemma=abbaiare 
 abbaierai ( VERB ) lemma=abbaiare 
 abbaieran ( VERB ) lemma=abbaiare 
 abbaieranno ( VERB ) lemma=abbaiare 
 abbaierebbe ( VERB ) lemma=abbaiare 
 abbaierebber ( VERB ) lemma=abbaiare 
 abbaierebbero ( VERB ) lemma=abbaiare 
 abbaierei ( VERB ) lemma=abbaiare 
 abbaieremmo ( VERB ) lemma=abbaiare 
 abbaieremo ( VERB ) lemma=abbaiare 
 abbaiereste ( VERB ) lemma=abbaiare 
 abbaieresti ( VERB ) lemma=abbaiare 
 abbaierete ( VERB ) lemma=abbaiare 
 abbaiero' ( VERB ) lemma=abbaiare 
 abbaierà ( VERB ) lemma=abbaiare 
 abbaierò ( VERB ) lemma=abbaiare 
 abbain ( VERB ) lemma=abbaiare 
 abbaini ( NOUN NOUN_SINGULAR ) lemma=abbaino 
 abbaino ( NOUN VERB NOUN_SINGULAR ) 
 abbaio ( VERB ) lemma=abbaiare 
 abbaio' ( VERB ) lemma=abbaiare 
 abbaiò ( VERB ) lemma=abbaiare 
 abbandona ( VERB ) lemma=abbandonare 
 abbandonai ( VERB ) lemma=abbandonare 
 abbandonammo ( VERB ) lemma=abbandonare 
 abbandonan ( VERB ) lemma=abbandonare 
