 H ( NOUN NOUN_PROPER_SINGULAR ) 
 H&F ( NOUN NOUN_PROPER_SINGULAR ) 
 H&H ( NOUN NOUN_PROPER_SINGULAR ) 
 H&K ( NOUN NOUN_PROPER_SINGULAR ) 
 H&K-Geschäftsleitung ( NOUN NOUN_PROPER_SINGULAR ) 
 H&K-Waffen ( NOUN NOUN_PROPER_SINGULAR ) 
 H&M ( NOUN NOUN_PROPER_SINGULAR ) 
 H.-D. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Detlef ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Dieter ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Dietmar ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Dietrich ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-E. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Eckebrecht ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Eckhard ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Eckhardt ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Egon ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Ekkehard ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Ellmar ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Engelbert ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Erhard ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Erich ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-F. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Fr. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Frank ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Friedhelm ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Friedrich ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-G. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Georg ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Gerd ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Gerh. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Gerrit ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Gert ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Gg. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Gloria ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Gunter ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Günter ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Günther ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-H. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-HG. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Hasso ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Heide ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Heinr. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Heinrich ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Heinz ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Helmut ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Hennig ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Henning ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Herbert ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Herm. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Hermann ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Holger ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Hugo ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-I. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-J ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-J. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Jakob ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Jo. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Joachim ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Joachin ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Jochen ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Josef ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Jörg ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Jürgen ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-K. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Klaus ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-L. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Leo ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Lothar ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Luise ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-M. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Manfred ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Martin ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Michael ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-N. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Norbert ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-O. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Otto ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-P. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Peter ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-R. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Ragnar ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Rainer ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Raymond ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Reiner ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Rich. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Robert ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Ross ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Rudolf ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Rüdiger ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-S. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Sibille ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-St. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Stefan ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Stephan ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-T. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Tan ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Th. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Theo ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Thilo ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Thomas ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Timm ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-U. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Udo ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Ulrich ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Uwe ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Volker ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-W ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-W. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Walter ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Werner ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Wilh. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Wilhelm ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Willi ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Wolf ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Wolfgang ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Wolfram ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.A. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.A.J. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.B. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.B.J. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.C. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.D. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.E. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.E.R. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.F. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.F.C. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.G. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.Günter ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.H. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.H.H. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.I. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.J. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.J.M. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.Jörg ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.Jürgen ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.K. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.K.J. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.L. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.M ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.M. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.M.C.-H. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.O. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.P. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.P.O. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.R. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.R.W. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.S. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.T. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.V. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.W. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.W.D. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H2- ( ) 
 H2O2-Lösung ( NOUN NOUN_PROPER_SINGULAR ) 
 H2S- ( ) 
 H2S-Messwerte ( NOUN NOUN_PROPER_SINGULAR ) lemma=H2S-Messwert 
 H2S-Prüfgasampullen ( NOUN NOUN_PROPER_SINGULAR ) lemma=H2S-Prüfgasampulle 
 H2S-Sensor ( NOUN NOUN_PROPER_SINGULAR ) 
 H: ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HA ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HA-WE-GE ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HAAG ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HAB-Blockkurs ( NOUN NOUN_PROPER_SINGULAR ) 
 HABEN ( VERB_INFINITIVE AUX_DO AUX_HAVE AUX_BE AUX_VERB_PRESENT AUX_VERB_FUTURE AUX_VERB_PAST VERB ) lemma=haben 
 HAG- ( ) 
 HAG-AG ( NOUN NOUN_PROPER_SINGULAR ) 
 HAG-Fabrik ( NOUN NOUN_PROPER_SINGULAR ) 
 HAG-Kaffees ( NOUN NOUN_PROPER_SINGULAR ) lemma=HAG-Kaffee 
 HAGEN ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HAI ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hai 
 HALTBARKEIT ( NOUN NOUN_PROPER_SINGULAR ) lemma=Haltbarkeit 
 HAM- ( ) 
 HAM-Chef ( NOUN NOUN_PROPER_SINGULAR ) 
 HAM-Vorstand ( NOUN NOUN_PROPER_SINGULAR ) 
 HAMAS-Partei ( NOUN NOUN_PROPER_SINGULAR ) 
 HANDBALL-WM ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HANDHABUNG ( NOUN NOUN_PROPER_SINGULAR ) lemma=Handhabung 
 HANF ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HANNOVER ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=Hannover 
 HANS ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HANS-DIETER ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HANS-J. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HANSJÜRGEN ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HAP-Grieshaber-Stiftung ( NOUN NOUN_PROPER_SINGULAR ) 
 HARALD ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HARRY ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HAT ( VERB_INFINITIVE AUX_DO AUX_HAVE AUX_BE AUX_VERB_PRESENT AUX_VERB_FUTURE AUX_VERB_PAST VERB ) lemma=haben 
 HATTEN ( VERB_INFINITIVE NOUN VERB NOUN_SINGULAR NOUN_PLURAL ) lemma=Hatten 
 HAUPTSITZ ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hauptsitz 
 HAWO ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HAZ-Macher ( NOUN NOUN_PROPER_SINGULAR ) 
 HB ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HB- ( ) 
 HB-Abgeordneten ( NOUN NOUN_PROPER_SINGULAR ) lemma=HB-Abgeordnete 
 HB-Chef ( NOUN NOUN_PROPER_SINGULAR ) 
 HB-Männchen ( NOUN NOUN_PROPER_SINGULAR ) 
 HB-Nord ( NOUN NOUN_PROPER_SINGULAR ) 
 HB-W ( NOUN NOUN_PROPER_SINGULAR ) 
 HBB ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HBF-Südseite ( NOUN NOUN_PROPER_SINGULAR ) 
 HBH ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HBO ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HBV ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HBV- ( ) 
 HBV-Angaben ( NOUN NOUN_PROPER_SINGULAR ) lemma=HBV-Angabe 
 HBV-Betriebsrat ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Bezirksvorsitzende ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Chef ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Delegierten ( NOUN NOUN_PROPER_SINGULAR ) lemma=HBV-Delegierte 
 HBV-Forderung ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Frauenausschuss ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Frauenausschuß ( NOUN NOUN_PROPER_SINGULAR ) lemma=HBV-Frauenausschuss 
 HBV-Funktionär ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Funktionäre ( NOUN NOUN_PROPER_SINGULAR ) lemma=HBV-Funktionär 
 HBV-Führung ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Geschäftsführer ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Gewerkschafter ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Gewerkschafterin ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Gewerkschaftstag ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Hauptvorstand ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Jugendarbeit ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Kollegen ( NOUN NOUN_PROPER_SINGULAR ) lemma=HBV-Kollege 
 HBV-Landesbezirk ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Landesbezirksleitung ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Landesleiter ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Landesleitung ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Landesvorsitzende ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Mann ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Mitglied ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Mitglieder ( NOUN NOUN_PROPER_SINGULAR ) lemma=HBV-Mitglied 
 HBV-Mitgliedern ( NOUN NOUN_PROPER_SINGULAR ) lemma=HBV-Mitglied 
 HBV-Satzung ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Sekretär ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Sekretärin ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Spitze ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Sprecher ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Sprechers ( NOUN NOUN_PROPER_SINGULAR ) lemma=HBV-Sprecher 
 HBV-Streik ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Verhandlungsführer ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Vertreter ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Vorsitzende ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Vorsitzenden ( NOUN NOUN_PROPER_SINGULAR ) lemma=HBV-Vorsitzende 
 HBV-Vorsitzender ( NOUN NOUN_PROPER_SINGULAR ) lemma=HBV-Vorsitzende 
 HBV-Vorstand ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Vorstandsmitglied ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Vorstandsmitgliedes ( NOUN NOUN_PROPER_SINGULAR ) lemma=HBV-Vorstandsmitglied 
 HBV-West ( NOUN NOUN_PROPER_SINGULAR ) 
 HBV-Zentrale ( NOUN NOUN_PROPER_SINGULAR ) 
 HC ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HC- ( ) 
 HCA-Delegation ( NOUN NOUN_PROPER_SINGULAR ) 
 HCC ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HCFC ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HCG-Hormon ( NOUN NOUN_PROPER_SINGULAR ) 
 HCG-Hormons ( NOUN NOUN_PROPER_SINGULAR ) lemma=HCG-Hormon 
 HCH. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HCL ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HCN-Konzentration ( NOUN NOUN_PROPER_SINGULAR ) 
 HCN-Sensor ( NOUN NOUN_PROPER_SINGULAR ) 
 HCN-Sensors ( NOUN NOUN_PROPER_SINGULAR ) lemma=HCN-Sensor 
 HCP ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HD ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HD- ( ) 
 HD-Mac-Norm ( NOUN NOUN_PROPER_SINGULAR ) 
 HDE ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HDE-Geschäftsführer ( NOUN NOUN_PROPER_SINGULAR ) 
 HDE-Präsident ( NOUN NOUN_PROPER_SINGULAR ) 
 HDE-Präsidenten ( NOUN NOUN_PROPER_SINGULAR ) lemma=HDE-Präsident 
 HDE-Sprecher ( NOUN NOUN_PROPER_SINGULAR ) 
 HDI ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HDL-Fraktion ( NOUN NOUN_PROPER_SINGULAR ) 
 HDTV ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HDTV- ( ) 
 HDTV-Entwicklung ( NOUN NOUN_PROPER_SINGULAR ) 
 HDTV-Fernsehen ( NOUN NOUN_PROPER_SINGULAR ) 
 HDTV-Industrie ( NOUN NOUN_PROPER_SINGULAR ) 
 HDTV-Kameras ( NOUN NOUN_PROPER_SINGULAR ) lemma=HDTV-Kamera 
 HDTV-Kino ( NOUN NOUN_PROPER_SINGULAR ) 
 HDTV-Norm ( NOUN NOUN_PROPER_SINGULAR ) 
 HDTV-Produktion ( NOUN NOUN_PROPER_SINGULAR ) 
 HDTV-Produktionen ( NOUN NOUN_PROPER_SINGULAR ) lemma=HDTV-Produktion 
 HDTV-Qualität ( NOUN NOUN_PROPER_SINGULAR ) 
 HDTV-Schirmen ( NOUN NOUN_PROPER_SINGULAR ) lemma=HDTV-Schirm 
 HDTV-Studio ( NOUN NOUN_PROPER_SINGULAR ) 
 HDTV-System ( NOUN NOUN_PROPER_SINGULAR ) 
 HDTV-Technik ( NOUN NOUN_PROPER_SINGULAR ) 
 HDTV-Welt ( NOUN NOUN_PROPER_SINGULAR ) 
 HDTV-tauglichen ( ADJECTIVE ) lemma=HDTV-tauglich 
 HDW ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HDW- ( ) 
 HDW-Aufsichtsrat ( NOUN NOUN_PROPER_SINGULAR ) 
 HDW-Führung ( NOUN NOUN_PROPER_SINGULAR ) 
 HDW-Manager ( NOUN NOUN_PROPER_SINGULAR ) 
 HDW-Schreiben ( NOUN NOUN_PROPER_SINGULAR ) 
 HDW-Sprecher ( NOUN NOUN_PROPER_SINGULAR ) 
 HDW-Vorstand ( NOUN NOUN_PROPER_SINGULAR ) 
 HDW-Vorstands ( NOUN NOUN_PROPER_SINGULAR ) lemma=HDW-Vorstand 
 HDW-Vorstandsvorsitzende ( NOUN NOUN_PROPER_SINGULAR ) 
 HDW-Werft ( NOUN NOUN_PROPER_SINGULAR ) 
 HDW-und-Metaller ( NOUN NOUN_PROPER_SINGULAR ) 
 HDZ- ( ) 
 HDZ-Fraktion ( NOUN NOUN_PROPER_SINGULAR ) 
 HDZ-Regierung ( NOUN NOUN_PROPER_SINGULAR ) 
 HE ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HEAG-Hallen ( NOUN NOUN_PROPER_SINGULAR ) lemma=HEAG-Halle 
 HEAG-Netz ( NOUN NOUN_PROPER_SINGULAR ) 
 HEBC ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HEFA ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HEIKE ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HEIMAT ( NOUN NOUN_PROPER_SINGULAR ) lemma=Heimat 
 HEIN ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HEINER ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HEINRICH ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HEINZ ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HEKA ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HELENA ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HELICON ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HELLAS ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HELMUT ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HER ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HERAUS ( PRONOUN_SUBJECT PRONOUN_OBJECT ADVERB ) lemma=heraus 
 HERBERT ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HERMAN ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
